PRODUCT,BRAND,CATEGORY,CAPACITY,ITEM_CODE,ITEM_DESC,PART_NO,UOM,OPEN_QTY,RECEIVED_QTY,ISSUE_QTY,BAL_QTY,AMOUNT
Home Appliances,Gree,Refrigerator,Inverter,03010502010082,IMPORTED FRIDGE PART GIRF-3250134 (Sensor),GIRF-3250134,PCS,0,10,8,2,1800
Home Appliances,Gree,Refrigerator,Inverter,03010502010122,IMPORTED FRIDGE PART GIRF-3251360 (Fuse),GIRF-3251360,PCS,10,95,96,9,1529.61
Home Appliances,Gree,Refrigerator,Inverter,03010502070002,PCB GRIS-300G-CB1Y 904201000005,904201000005,PCS,0,3,2,1,4355.86
Home Appliances,Gree,Refrigerator,Conventional 2,03010503020002,Fridge gass kit GR-D7620-CR2 7620147258,7620147258,PCS,0,11,2,9,4256.41
Home Appliances,Gree,Refrigerator,No Frost Inverter,03010504020002,Main PCB 305062303 GRID-250G-CD1Y,305062303,PCS,0,1,0,1,1760
Home Appliances,Gree,SPLIT AC 2,12000 BTU,03010801020001,Indoor Main Board GS-12AITH24W-T3/18AITH/24AITH 300002065053,300002065053,PCS,0,13,4,9,45600.04
Home Appliances,Gree,SPLIT AC 2,12000 BTU,03010801040001,Indoor Main Board GS-12PITH15/16/17/18 W-T3 300002062528,300002062528,PCS,0,10,0,10,25365.57
Home Appliances,Gree,SPLIT AC 2,12000 BTU,03010801040002,"Outdoor Main Board GS-12PITH18G-T3(15,16,17) 300027064536",300027064536,PCS,0,10,0,10,107430.36
Home Appliances,Gree,SPLIT AC 2,18000 BTU,03010802020001,Outdoor Main Board GS-18AITH24W-T3 300027063635,300027063635,PCS,0,7,5,2,26577.81
Home Appliances,Gree,SPLIT AC 2,18000 BTU,03010802090001,Indoor Main Board GS-18ZITH1W-T3 300002063713,300002063713,PCS,0,6,2,4,11053.66
Home Appliances,Gree,SPLIT AC 2,18000 BTU,03010802090002,Outdoor Main Board GS-18ZITH1W-T3 300027064576,300027064576,PCS,0,4,0,4,47976.24
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,12000 BTU,06010302010042,Brushless DC Motor GU71T/A-T / GKH24KF1,1570940000401,PCS,0,1,0,1,22550
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,18000 BTU,06010303020001,Evaporator Assy GKH18K3FI 01029400045,01029400045,PCS,1,0,0,1,29449
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,18000 BTU,06010303020011,Water Level Switch GKH24KF1,45018012,PCS,1,1,0,2,4953.45
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,18000 BTU,06010303040001,"Indoor PCB     GUD50T1/B-S	300002062359",300002062359,PCS,0,1,0,1,31000
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,24000 BTU,06010304030019,Evaporator Assy,01029400046,PCS,0,1,0,1,0
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,36000 BTU,06010306020001,Main Board GUHD24NK3FO / GFH48K3BI / GKH24K3HI  / GKH36K3BI,30224000028,PCS,0,7,5,2,44239.14
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,48000 BTU,06010308020001,Evaporator Assy,01029400054,PCS,0,1,0,1,74800
LCAC,IN-DOOR MODEL,T1 R410 DC Inverter Indoor Units,60000 BTU,06010309030029,Main Board,30224000029,PCS,1,0,0,1,24273
